Name,D,R2,POAV_VF,Topology,Topology_manually_updated
20021N2_ddec,1.06E-05,0.746328065,0.6159,hcb,FALSE
20030N2_ddec,9.07E-07,0.898539739,0.36404,hcb,FALSE
20031N2_ddec,4.85E-07,0.955665747,0.33678,hcb,FALSE
20080N2_ddec,5.63E-05,0.948883912,0.63848,hcb,FALSE
20090N2_ddec,2.16E-05,0.982684863,0.53862,bex,FALSE
20091N2_ddec,1.70E-05,0.889425616,0.5233,bex,FALSE
20120N2_ddec,1.61E-07,0.767861976,0.31558,sql,TRUE
20140N2_ddec,1.32E-05,0.877097477,0.40058,sql,TRUE
20141N2_ddec,1.65E-05,0.858075481,0.40162,sql,TRUE
20142N2_ddec,3.64E-06,0.906273344,0.43602,sql,TRUE
20161N2_ddec,1.79E-05,0.94728197,0.46788,hcb,FALSE
20162N2_ddec,2.08E-05,0.760877514,0.46658,hcb,FALSE
20165N2_ddec,9.00E-07,0.758401009,0.66824,hcb,FALSE
20166N2_ddec,5.18E-05,0.9354311,0.62782,hcb,FALSE
20167N2_ddec,7.74E-06,0.93087682,0.55196,hcb,FALSE
20169N2_ddec,2.22E-05,0.912461094,0.55092,hcb,FALSE
2016bN2_ddec,4.39E-05,0.947972444,0.70406,hcb,FALSE
20181N2_ddec,3.30E-05,0.896628138,0.5834,hcb,FALSE
20182N2_ddec,5.47E-05,0.974775736,0.60584,hcb,FALSE
20201N2_ddec,2.06E-05,0.955151301,0.57304,sql,FALSE
20202N2_ddec,6.87E-05,0.757155344,0.71482,hcb,FALSE
20203N2_ddec,2.37E-06,0.977238859,0.62672,kgm,FALSE
20250N2_ddec,8.01E-07,0.722014696,0.7567,hcb,FALSE
20280N2_ddec,0.000174019,0.832234922,0.53262,sql,TRUE
20281N2_ddec,2.73E-05,0.920759381,0.64374,sql,TRUE
20282N2_ddec,4.77E-05,0.725895849,0.6321,sql,TRUE
20290N2_ddec,1.31E-05,0.926984576,0.34054,bex,FALSE
20300N2_ddec,1.24E-06,0.956276239,0.6402,hcb,FALSE
20331N2_ddec,5.49E-06,0.923515101,0.61096,hcb,FALSE
20341N2_ddec,0.000126685,0.958641535,0.5918,hcb,FALSE
20360N2_ddec,4.67E-05,0.971046667,0.68026,hcb,FALSE
20362N2_ddec,4.80E-05,0.954552985,0.43042,hcb,FALSE
20401N2_ddec,7.95E-07,0.845076909,0.59126,hcb,FALSE
20402N2_ddec,1.90E-06,0.897638472,0.50164,hcb,FALSE
20403N2_ddec,1.24E-06,0.743221264,0.327,sql,FALSE
20410N2_ddec,3.09E-07,0.88542164,0.59404,kgm,FALSE
20411N2_ddec,3.12E-06,0.847053925,0.38414,sql,FALSE
20420N2_ddec,3.97E-05,0.883903526,0.33356,hcb,FALSE
20421N2_ddec,5.10E-05,0.918471346,0.3389,hcb,FALSE
20450N2_ddec,1.08E-05,0.839049707,0.54416,sql,FALSE
20460N2_ddec,1.50E-07,0.929514299,0.21776,hcb,FALSE
20470N2_ddec,8.06E-07,0.902924762,0.47552,kgm,FALSE
20472N2_ddec,3.09E-05,0.958317542,0.74348,hcb,FALSE
20510N2_ddec,1.11E-05,0.957886913,0.6417,kgm,FALSE
20530N2_ddec,1.90E-07,0.827072162,0.4901,hcb,FALSE
20531N2_ddec,1.03E-07,0.821728108,0.53012,hcb,FALSE
20600N2_ddec,1.52E-05,0.967945869,0.63528,hcb,FALSE
20610N2_ddec,8.99E-06,0.966374928,0.71618,hcb,FALSE
20620N2_ddec,6.79E-06,0.882702778,0.47464,hcb,FALSE
20630N2_ddec,3.65E-05,0.973594365,0.6187,hcb,FALSE
20640N2_ddec,1.38E-05,0.930099444,0.58918,hcb,FALSE
20650N2_ddec,1.17E-05,0.935495843,0.42034,hcb,FALSE
20671N2_ddec,5.80E-06,0.88710513,0.51412,sql,TRUE
20672N2_ddec,2.59E-05,0.79605932,0.53604,sql,TRUE
20680N2_ddec,4.12E-06,0.905593011,0.70086,hcb,FALSE
20700N2_ddec,4.81E-05,0.956759493,0.58602,hcb,FALSE
21011N2_ddec,1.07E-05,0.890893765,0.70082,hcb,FALSE
21012N2_ddec,2.63E-05,0.868018569,0.71338,hcb,FALSE
21013N2_ddec,5.49E-06,0.880755157,0.7116,hcb,FALSE
21014N2_ddec,1.51E-05,0.912646955,0.69752,hcb,FALSE
21030N2_ddec,2.34E-05,0.869120418,0.46766,kgm,FALSE
21031N2_ddec,4.25E-06,0.892044845,0.44668,sql,FALSE
21032N2_ddec,2.35E-05,0.799030546,0.49392,kgm,FALSE
21033N2_ddec,1.47E-06,0.837794653,0.47654,sql,FALSE
21034N2_ddec,9.06E-06,0.970787372,0.46834,sql,FALSE
21035N2_ddec,7.10E-06,0.970111517,0.46884,sql,FALSE
21050N2_ddec,8.21E-06,0.901088966,0.63914,sql,TRUE
21060N2_ddec,6.02E-05,0.931478456,0.53002,hcb,FALSE
21070N2_ddec,4.12E-05,0.943705111,0.48448,hcb,FALSE
21071N2_ddec,1.65E-05,0.872655881,0.47792,hcb,FALSE
21072N2_ddec,8.20E-05,0.978435717,0.49942,hcb,FALSE
21073N2_ddec,9.94E-05,0.983209265,0.5138,hcb,FALSE
21080N2_ddec,1.59E-05,0.812048789,0.70336,hcb,FALSE
21081N2_ddec,4.24E-05,0.889064371,0.63474,hcb,FALSE
21082N2_ddec,1.71E-05,0.914395424,0.68942,hcb,FALSE
21130N2_ddec,1.50E-05,0.774102311,0.5795,hcb,FALSE
21140N2_ddec,3.91E-06,0.879273399,0.45364,hcb,FALSE
21170N2_ddec,2.83E-05,0.926379581,0.69808,hcb,FALSE
21181N2_ddec,7.11E-06,0.905789198,0.68166,hcb,FALSE
21250N2_ddec,8.20E-06,0.963820405,0.462,hcb,FALSE
21251N2_ddec,2.66E-07,0.710788747,0.63496,hcb,FALSE
21310N2_ddec,1.46E-05,0.982128636,0.68418,sql,FALSE
21312N2_ddec,3.23E-06,0.705417424,0.81868,hcb,FALSE
21314N2_ddec,1.54E-05,0.815184359,0.73172,sql,TRUE
21320N2_ddec,4.05E-05,0.939778545,0.60922,sql,FALSE
21340N2_ddec,6.15E-06,0.79315576,0.75848,hcb,FALSE
21390N2_ddec,2.36E-05,0.727830474,0.63166,hcb,FALSE
21391N2_ddec,2.30E-05,0.946171351,0.73152,hcb,FALSE
21394N2_ddec,5.65E-05,0.981148523,0.69098,hcb,FALSE
21395N2_ddec,5.09E-05,0.917462217,0.73454,hcb,FALSE
21400N2_ddec,1.28E-05,0.892439277,0.67682,hcb,FALSE
21411N2_ddec,9.39E-06,0.760942989,0.69626,hcb,FALSE
21440N2_ddec,1.77E-05,0.850416847,0.57898,hcb,FALSE
21450N2_ddec,3.46E-05,0.924425513,0.74358,hcb,TRUE
21451N2_ddec,6.83E-05,0.756937884,0.75708,hcb,FALSE
21470N2_ddec,2.93E-05,0.952951534,0.41296,sql,FALSE
21530N2_ddec,0.000224806,0.951720312,0.50444,sql,TRUE
21680N2_ddec,1.22E-05,0.952515038,0.43328,sql,TRUE
21740N2_ddec,1.59E-05,0.739174138,0.60864,sql,TRUE
21761N2_ddec,1.44E-05,0.785635543,0.52162,sql,FALSE
21770N2_ddec,3.53E-05,0.937403611,0.65018,hcb,FALSE
21781N2_ddec,4.03E-05,0.978277427,0.53302,cpq,FALSE
21811N2_ddec,1.73E-05,0.944163033,0.49254,hcb,FALSE
21822N2_ddec,5.85E-06,0.834253919,0.2291,hcb,FALSE
21823N2_ddec,7.73E-06,0.947346333,0.29148,hcb,FALSE
21830N2_ddec,1.25E-06,0.872103163,0.47662,sql,TRUE
22000N2_ddec,0.00012994,0.966363903,0.6966,hcb,FALSE
22001N2_ddec,5.45E-06,0.85940164,0.33638,hcb,FALSE
22040N2_ddec,9.24E-07,0.947376076,0.543,kgm,TRUE
22041N2_ddec,3.48E-05,0.825896517,0.4027,sql,FALSE
22060N2_ddec,1.63E-06,0.925118103,0.61712,hcb,FALSE
22061N2_ddec,2.38E-06,0.902987735,0.62664,hcb,FALSE
22070N2_ddec,8.99E-06,0.924800023,0.33996,hcb,FALSE
22080N2_ddec,4.52E-05,0.941527718,0.46066,sql,TRUE
22100N2_ddec,2.44E-05,0.96467957,0.4278,sql,FALSE
221010N2_ddec,6.18E-07,0.930023912,0.65404,sql,FALSE
